Age,AnnualSalary,Attrition,Department,EmployeeID,EngagementScore,JobRole,JobSatisfaction,OverTime,PerformanceRating,TenureYears,WorkLifeBalance,WorkMode,YearsSinceLastPromotion,CandidateID,HireSource,TimeToHireDays,HireDate,NameMatchScore,MatchStatus,TicketCount,EscalatedTickets,AvgResolveDays
21,46906,No,Human Resources,175,3,HR Generalist,3,No,3,1.0,3,On-site,1.0,9175,Recruiter Sourced,30,2019-03-22,1.0,OK,3,0,5.666666666666667
27,39975,Yes,Human Resources,176,3,HR Generalist,1,No,2,0.3,2,On-site,0.3,9176,University Recruiting,26,2023-02-17,1.0,OK,7,0,3.2857142857142856
46,108045,No,News & Content,177,3,Producer,4,No,3,8.4,3,On-site,0.8,9177,University Recruiting,58,2018-12-15,1.0,OK,5,1,5.6
42,69808,No,Engineering,178,3,IT Support,3,No,3,6.4,2,Remote,0.1,9178,LinkedIn,47,2021-10-02,1.0,OK,1,0,0.0
51,111079,No,News & Content,179,3,Reporter,1,No,3,1.9,2,On-site,1.9,9179,LinkedIn,49,2019-03-29,1.0,OK,6,2,2.3333333333333335
40,40787,Yes,News & Content,180,2,Photojournalist,1,No,3,16.1,4,On-site,1.1,9180,Career Site,18,2022-07-29,1.0,OK,2,0,4.0
37,78411,No,News & Content,181,4,Reporter,3,No,3,9.9,4,On-site,7.1,9181,Recruiter Sourced,24,2024-10-01,1.0,OK,4,1,0.75
21,57545,No,Sales,182,3,Account Executive,4,No,3,1.0,4,Hybrid,0.4,9182,Indeed,33,2019-08-08,1.0,OK,3,0,0.0
21,92941,Yes,Sales,183,3,Sales Coordinator,1,No,4,1.0,3,Remote,1.0,9183,LinkedIn,29,2019-08-22,1.0,OK,5,0,2.8
57,74373,No,News & Content,184,4,Photojournalist,4,No,3,5.9,2,Hybrid,2.0,9184,Employee Referral,44,2023-01-13,1.0,OK,0,0,0.0
34,79843,No,Sales,185,4,Sales Manager,2,Yes,4,7.1,4,Hybrid,1.4,9185,Employee Referral,41,2022-06-18,1.0,OK,5,1,3.4
48,55321,No,News & Content,186,3,Editor,3,No,3,1.0,3,Hybrid,1.0,9186,Employee Referral,51,2023-10-11,1.0,OK,2,1,0.0
49,66275,No,Engineering,187,4,IT Support,1,No,4,10.1,3,On-site,2.2,9187,Employee Referral,28,2020-02-17,1.0,OK,8,2,2.375
35,111926,No,Human Resources,188,2,HR Manager,4,No,4,3.4,4,On-site,3.4,9188,Recruiter Sourced,36,2023-06-27,1.0,OK,7,2,4.714285714285714
50,34000,Yes,Finance,189,4,Finance Manager,1,No,3,0.3,4,On-site,0.3,9189,Career Site,49,2024-06-11,1.0,OK,3,1,2.3333333333333335
31,66650,No,News & Content,190,4,News Director,1,Yes,3,2.4,4,On-site,2.4,9190,University Recruiting,27,2020-07-12,1.0,OK,13,4,3.230769230769231
33,89592,No,Sales,191,4,Sales Coordinator,2,Yes,3,2.9,3,On-site,2.9,9191,University Recruiting,25,2019-02-18,1.0,OK,5,2,1.4
31,89791,No,Sales,192,3,Sales Coordinator,4,No,4,2.9,3,Hybrid,0.3,9192,Employee Referral,51,2024-10-09,1.0,OK,5,0,2.8
40,108099,No,News & Content,193,3,Reporter,3,No,3,4.6,2,On-site,0.8,9193,Career Site,7,2021-02-23,1.0,OK,4,0,1.25
42,57325,Yes,News & Content,194,2,Reporter,4,No,3,0.6,1,Hybrid,0.1,9194,Recruiter Sourced,54,2025-12-14,1.0,OK,4,0,5.0
21,59986,No,Sales,195,4,Sales Manager,1,Yes,4,1.0,4,Hybrid,1.0,9195,Employee Referral,30,2019-04-11,1.0,OK,9,2,2.5555555555555554
26,70164,Yes,Finance,196,3,Finance Manager,3,Yes,3,0.4,3,Hybrid,0.4,9196,LinkedIn,33,2023-12-07,1.0,OK,5,1,0.6
38,77524,No,Finance,197,4,Finance Manager,1,Yes,4,1.6,3,Hybrid,1.0,9197,Employee Referral,50,2021-12-12,1.0,OK,3,0,4.0
21,78157,No,Sales,198,4,Sales Manager,3,No,3,1.0,3,Hybrid,1.0,9198,Indeed,44,2021-05-06,1.0,OK,3,1,4.333333333333333
30,60297,No,Human Resources,199,2,HR Generalist,4,No,3,4.7,3,Remote,2.7,9199,University Recruiting,15,2021-02-15,1.0,OK,3,2,3.0
23,46077,No,Sales,200,2,Sales Manager,4,No,4,3.0,4,On-site,2.7,9200,Recruiter Sourced,23,2023-04-24,1.0,OK,0,0,0.0
62,93968,No,Human Resources,201,4,HR Manager,3,No,3,0.1,3,Hybrid,0.1,9201,Employee Referral,34,2018-10-02,1.0,OK,1,0,0.0
38,34000,No,Sales,202,3,Account Executive,2,No,3,0.4,3,Hybrid,0.4,9202,University Recruiting,46,2020-12-30,1.0,OK,6,2,1.8333333333333333
43,127755,No,News & Content,203,3,Editor,4,No,3,9.5,4,On-site,0.8,9203,Employee Referral,40,2026-06-17,1.0,OK,3,1,2.6666666666666665
43,67076,No,Finance,204,4,Accountant,1,No,3,3.0,4,Remote,3.0,9204,Indeed,34,2023-06-28,1.0,OK,4,0,1.75
44,47745,No,Sales,205,4,Account Executive,4,No,3,4.4,2,Remote,4.4,9205,Indeed,28,2026-06-25,1.0,OK,2,0,0.5
27,64636,No,Engineering,206,4,IT Support,4,Yes,3,7.0,1,On-site,0.0,9206,Indeed,58,2022-02-05,1.0,OK,5,0,3.8
48,50000,No,Sales,207,4,Sales Manager,4,No,3,2.0,3,On-site,2.0,9207,Indeed,32,2019-09-23,1.0,OK,1,0,8.0
22,84540,No,Engineering,208,4,Broadcast Engineer,2,No,3,0.2,2,Remote,0.2,9208,Indeed,46,2018-12-02,1.0,OK,7,2,2.4285714285714284
46,69744,Yes,News & Content,209,1,Editor,2,No,3,0.9,1,Hybrid,0.9,9209,LinkedIn,31,2025-02-07,1.0,OK,7,0,1.7142857142857142
36,51585,No,Finance,210,3,Financial Analyst,2,No,4,8.7,4,Hybrid,3.2,9210,LinkedIn,16,2020-02-27,1.0,OK,6,1,2.1666666666666665
46,34000,Yes,Engineering,211,4,Broadcast Engineer,1,No,3,7.4,2,On-site,3.6,9211,Indeed,9,2021-07-20,1.0,OK,2,0,0.0
35,169884,No,Sales,212,3,Account Executive,3,Yes,3,0.8,1,On-site,0.1,9212,Recruiter Sourced,38,2024-08-15,1.0,OK,6,2,4.333333333333333
42,34000,Yes,News & Content,213,2,Photojournalist,3,No,3,2.0,2,On-site,0.2,9213,Career Site,43,2025-05-19,1.0,OK,4,1,3.0
36,85770,Yes,News & Content,214,2,Photojournalist,3,Yes,4,2.5,4,Hybrid,1.2,9214,LinkedIn,53,2019-06-17,1.0,OK,3,0,1.3333333333333333
23,77982,Yes,News & Content,215,3,News Director,2,No,3,1.3,1,Remote,1.0,9215,University Recruiting,33,2018-12-30,1.0,OK,6,1,1.0
37,101037,No,Engineering,216,2,IT Support,3,No,3,1.8,4,On-site,0.7,9216,Recruiter Sourced,30,2026-02-24,1.0,OK,4,1,0.5
62,96017,No,Sales,217,4,Sales Manager,3,Yes,3,0.3,2,Remote,0.0,9217,University Recruiting,37,2025-12-21,1.0,OK,1,0,5.0
28,34000,Yes,News & Content,218,4,Producer,2,Yes,4,8.0,4,Hybrid,1.0,9218,LinkedIn,19,2025-07-05,1.0,OK,10,0,3.7
52,34000,Yes,Finance,219,3,Accountant,1,Yes,3,4.9,3,Remote,3.3,9219,University Recruiting,37,2025-02-13,1.0,OK,3,0,1.6666666666666667
45,91965,No,Human Resources,220,4,HR Generalist,2,Yes,2,3.7,3,Hybrid,0.4,9220,LinkedIn,37,2018-09-02,1.0,OK,4,0,3.0
44,83804,No,Sales,221,2,Sales Manager,4,No,4,1.4,3,Hybrid,1.4,9221,LinkedIn,32,2024-02-10,1.0,OK,2,0,1.5
54,108159,No,Finance,222,4,Financial Analyst,3,No,3,1.7,1,Hybrid,0.3,9222,Recruiter Sourced,33,2019-06-14,1.0,OK,6,2,1.5
45,43959,No,Engineering,223,4,IT Support,3,No,4,7.6,1,On-site,2.8,9223,Recruiter Sourced,53,2022-02-28,1.0,OK,4,0,4.75
51,88241,No,News & Content,224,2,Editor,3,No,3,9.5,4,Remote,0.2,9224,University Recruiting,38,2018-09-28,1.0,OK,4,1,3.5
34,76014,No,Engineering,225,2,IT Support,2,No,3,3.6,3,On-site,0.9,9225,Recruiter Sourced,29,2020-03-25,1.0,OK,10,4,2.2
21,57913,No,News & Content,226,4,Photojournalist,4,Yes,3,0.3,4,Hybrid,0.3,9226,Employee Referral,13,2022-11-12,1.0,OK,3,1,1.6666666666666667
37,64516,No,Finance,227,3,Accountant,1,No,3,17.0,4,On-site,0.5,9227,University Recruiting,16,2020-03-10,1.0,OK,5,2,6.4
38,46187,No,News & Content,228,4,Reporter,3,Yes,4,3.0,3,On-site,0.2,9228,Career Site,40,2022-09-29,1.0,OK,5,0,1.8
52,106937,No,Sales,229,4,Sales Coordinator,1,No,3,1.4,2,On-site,1.4,9229,Indeed,23,2020-08-17,0.5454545454545454,REVIEW,3,1,2.6666666666666665
22,132349,No,Engineering,230,4,Broadcast Engineer,2,No,3,0.6,1,On-site,0.6,9230,Career Site,30,2022-06-04,1.0,OK,7,2,5.571428571428571
22,86399,No,News & Content,231,3,Photojournalist,4,Yes,4,2.0,4,On-site,2.0,9231,Indeed,35,2024-05-25,1.0,OK,4,0,5.75
36,81809,No,Sales,232,3,Sales Coordinator,4,No,3,0.4,3,Hybrid,0.4,9232,Recruiter Sourced,54,2019-09-10,1.0,OK,1,0,1.0
41,87902,Yes,Human Resources,233,2,HR Generalist,2,Yes,3,0.1,2,Hybrid,0.1,9233,Indeed,47,2024-02-24,1.0,OK,3,0,1.6666666666666667
47,85991,No,Sales,234,3,Sales Coordinator,4,No,3,8.2,2,Hybrid,3.0,9234,LinkedIn,36,2018-09-15,1.0,OK,2,0,6.0
24,62491,No,Sales,235,4,Sales Manager,2,No,3,4.0,4,On-site,0.1,9235,Employee Referral,53,2023-03-23,1.0,OK,4,0,1.25
46,56612,No,Engineering,236,1,Systems Engineer,3,No,3,4.7,2,Remote,0.1,9236,Employee Referral,45,2023-11-13,1.0,OK,2,0,3.5
45,67558,No,Sales,237,4,Sales Coordinator,3,No,4,0.5,4,On-site,0.5,9237,Employee Referral,11,2018-11-28,1.0,OK,4,0,1.75
45,101371,No,News & Content,238,2,Producer,4,No,3,2.0,4,Hybrid,0.9,9238,LinkedIn,52,2019-12-03,1.0,OK,13,1,1.6153846153846154
44,63971,No,Finance,239,3,Financial Analyst,4,No,3,0.4,3,Hybrid,0.4,9239,Recruiter Sourced,36,2020-10-30,1.0,OK,1,0,2.0
37,50523,No,News & Content,240,3,Photojournalist,3,No,3,2.4,4,On-site,1.7,9240,Career Site,7,2024-11-15,1.0,OK,4,1,1.75
53,55748,No,News & Content,241,3,Producer,1,Yes,3,9.6,3,On-site,0.5,9241,LinkedIn,46,2023-07-03,1.0,OK,7,1,2.7142857142857144
29,70907,No,News & Content,242,4,News Director,4,No,3,3.8,3,On-site,3.1,9242,University Recruiting,38,2018-12-26,1.0,OK,2,0,1.5
43,134137,Yes,News & Content,243,1,Producer,3,Yes,3,0.6,3,On-site,0.6,9243,Employee Referral,33,2023-10-19,1.0,OK,5,1,1.8
39,100775,No,News & Content,244,3,Photojournalist,4,Yes,4,6.7,4,Hybrid,2.8,9244,Employee Referral,44,2018-08-17,1.0,OK,2,0,0.5
48,69217,Yes,News & Content,245,2,Producer,1,No,3,1.0,3,Hybrid,1.0,9245,LinkedIn,33,2021-09-01,1.0,OK,9,2,3.2222222222222223
36,64280,No,News & Content,246,4,Reporter,3,No,3,10.4,1,Hybrid,0.2,9246,LinkedIn,39,2020-09-23,1.0,OK,0,0,0.0
21,89351,Yes,News & Content,247,3,Photojournalist,3,No,3,1.0,1,Hybrid,1.0,9247,Indeed,32,2025-05-17,1.0,OK,4,2,1.5
26,74910,No,News & Content,248,3,News Director,3,No,3,4.5,3,On-site,2.5,9248,Employee Referral,33,2023-11-03,1.0,OK,3,1,1.3333333333333333
53,41168,Yes,Sales,249,2,Account Executive,3,No,3,1.9,2,Hybrid,1.2,9249,Employee Referral,19,2025-06-22,1.0,OK,3,0,1.0
40,48266,Yes,News & Content,250,2,Photojournalist,2,No,3,5.7,2,On-site,5.2,9250,LinkedIn,40,2018-09-17,1.0,OK,8,2,3.75
36,41711,No,Sales,251,3,Sales Manager,4,No,3,2.7,3,On-site,2.2,9251,Recruiter Sourced,60,2025-07-01,1.0,OK,2,0,1.5
39,89192,No,News & Content,252,4,Photojournalist,3,No,3,4.8,4,On-site,3.0,9252,Employee Referral,29,2023-10-03,1.0,OK,2,1,4.0
34,85763,No,News & Content,253,3,Photojournalist,1,No,3,3.7,3,Remote,3.7,9253,Employee Referral,23,2020-05-29,1.0,OK,5,1,0.8
44,104519,No,News & Content,254,4,Editor,4,Yes,3,24.0,4,On-site,0.1,9254,Employee Referral,26,2021-08-09,1.0,OK,2,0,2.0
35,102782,Yes,Sales,255,2,Sales Coordinator,1,Yes,3,0.1,1,On-site,0.1,9255,Employee Referral,15,2026-05-16,1.0,OK,8,1,1.375
26,78980,No,Sales,256,4,Sales Coordinator,3,No,3,4.4,4,On-site,2.7,9256,LinkedIn,31,2019-05-11,1.0,OK,2,1,4.0
35,87693,No,News & Content,257,4,Editor,2,No,3,3.4,4,Hybrid,3.4,9257,Indeed,32,2021-01-30,1.0,OK,4,0,2.75
31,77657,Yes,News & Content,258,3,Reporter,1,Yes,3,0.5,4,Hybrid,0.5,9258,Recruiter Sourced,34,2025-06-29,1.0,OK,6,1,3.5
38,57039,Yes,News & Content,259,1,News Director,4,Yes,3,2.7,3,Hybrid,0.4,9259,Indeed,45,2022-10-24,1.0,OK,3,0,5.0
40,78757,No,News & Content,260,4,Reporter,2,No,2,2.3,3,On-site,1.0,9260,Career Site,25,2020-01-19,1.0,OK,9,2,2.111111111111111
47,79315,No,News & Content,261,2,Producer,3,No,3,9.7,4,On-site,0.5,9261,Employee Referral,26,2022-07-25,1.0,OK,6,1,1.8333333333333333
38,57539,No,News & Content,262,4,Photojournalist,4,No,3,0.3,4,On-site,0.2,9262,LinkedIn,18,2022-03-23,1.0,OK,1,0,2.0
31,70930,No,Sales,263,3,Sales Manager,1,No,3,11.0,3,On-site,0.4,9263,Indeed,25,2025-12-20,1.0,OK,6,0,0.6666666666666666
33,61317,Yes,News & Content,264,3,Photojournalist,3,Yes,3,1.2,1,On-site,1.2,9264,Career Site,7,2018-09-24,1.0,OK,5,1,1.8
33,64203,No,Engineering,265,3,IT Support,4,No,3,8.0,2,On-site,3.3,9265,Employee Referral,45,2020-07-15,1.0,OK,0,0,0.0
48,68730,No,Finance,266,4,Accountant,3,No,4,7.8,3,On-site,3.3,9266,Recruiter Sourced,21,2022-10-17,1.0,OK,2,0,3.0
26,58017,No,News & Content,267,3,Photojournalist,4,No,4,3.0,3,On-site,1.0,9267,Indeed,21,2021-03-24,1.0,OK,6,1,0.6666666666666666
21,120415,No,Engineering,268,4,Systems Engineer,3,No,3,1.0,3,On-site,1.0,9268,LinkedIn,35,2021-09-15,1.0,OK,0,0,0.0
28,51978,No,Sales,269,2,Account Executive,4,No,3,0.9,4,On-site,0.9,9269,Indeed,23,2019-10-25,1.0,OK,4,2,2.75
49,34000,No,Sales,270,1,Account Executive,4,No,3,5.9,2,Hybrid,1.6,9270,LinkedIn,22,2021-05-02,1.0,OK,4,1,1.25
43,106411,No,News & Content,271,3,Reporter,2,Yes,4,6.2,3,On-site,1.5,9271,Employee Referral,20,2021-05-17,1.0,OK,2,0,2.0
31,96206,No,Sales,272,3,Sales Coordinator,4,No,3,4.0,3,Hybrid,1.0,9272,LinkedIn,25,2023-07-24,1.0,OK,2,0,2.0
39,60590,Yes,News & Content,273,3,Photojournalist,4,Yes,3,1.2,4,Hybrid,1.2,9273,Employee Referral,36,2020-06-13,1.0,OK,2,0,7.5
45,75673,No,Sales,274,4,Sales Coordinator,2,No,2,2.8,3,Hybrid,0.5,9274,Career Site,45,2026-05-21,1.0,OK,7,2,1.4285714285714286
45,40688,Yes,News & Content,275,3,Producer,4,Yes,3,3.8,1,Hybrid,3.8,9275,Career Site,22,2022-07-27,1.0,OK,4,0,3.0
25,75358,No,Sales,276,3,Sales Coordinator,3,No,3,1.6,2,Hybrid,1.6,9276,Indeed,33,2025-01-20,1.0,OK,10,4,2.2
46,113234,Yes,News & Content,277,2,Producer,2,No,3,20.8,1,Hybrid,0.7,9277,Indeed,28,2023-07-26,1.0,OK,11,1,3.909090909090909
36,43522,Yes,Sales,278,3,Account Executive,2,Yes,2,1.2,4,Remote,0.0,9278,Employee Referral,54,2025-08-03,1.0,OK,4,0,3.5
32,47593,No,News & Content,279,4,Reporter,4,No,3,0.5,3,Hybrid,0.5,9279,LinkedIn,52,2025-09-06,1.0,OK,4,1,5.25
30,76131,No,News & Content,280,4,Producer,3,Yes,3,2.6,4,Hybrid,1.5,9280,Indeed,16,2025-01-29,1.0,OK,2,0,1.0
24,127643,No,Finance,281,3,Accountant,1,No,3,0.8,4,Remote,0.8,9281,LinkedIn,34,2018-10-18,1.0,OK,5,1,3.0
50,90611,Yes,News & Content,282,2,Editor,1,Yes,3,2.4,4,On-site,0.2,9282,Employee Referral,35,2022-12-31,1.0,OK,7,2,1.0
39,52975,No,News & Content,283,3,Photojournalist,1,Yes,3,6.0,3,On-site,0.4,9283,Employee Referral,28,2020-10-19,1.0,OK,14,3,3.5
42,34000,Yes,News & Content,284,3,News Director,4,No,3,0.1,2,On-site,0.1,9284,Employee Referral,25,2019-10-10,1.0,OK,5,0,1.8
32,101074,No,Engineering,285,3,Systems Engineer,1,No,3,1.1,3,Hybrid,0.6,9285,Employee Referral,23,2025-09-26,1.0,OK,4,2,1.25
49,68023,No,News & Content,286,4,Photojournalist,3,Yes,3,1.0,2,On-site,1.0,9286,Recruiter Sourced,26,2023-10-25,1.0,OK,2,0,2.0
36,52216,No,Finance,287,4,Accountant,3,Yes,3,0.6,3,On-site,0.6,9287,Employee Referral,7,2019-04-06,1.0,OK,3,0,0.3333333333333333
42,70206,No,News & Content,288,3,Producer,4,No,3,10.3,3,Hybrid,0.5,9288,University Recruiting,42,2021-08-13,1.0,OK,3,0,3.3333333333333335
33,56931,No,Sales,289,1,Sales Manager,4,No,3,3.3,2,Hybrid,0.7,9289,Employee Referral,39,2026-03-30,1.0,OK,2,1,4.0
31,113004,No,News & Content,290,3,Photojournalist,3,No,3,4.5,3,Hybrid,3.8,9290,Recruiter Sourced,32,2023-06-17,1.0,OK,3,0,4.666666666666667
34,64558,No,News & Content,291,3,Reporter,3,No,4,6.6,2,On-site,0.7,9291,Recruiter Sourced,24,2023-07-25,1.0,OK,1,0,1.0
47,69355,No,Engineering,292,3,IT Support,4,No,3,17.2,3,Hybrid,6.5,9292,Career Site,27,2020-05-18,1.0,OK,0,0,0.0
36,34000,Yes,Sales,293,2,Sales Coordinator,2,No,3,2.5,1,Remote,1.2,9293,University Recruiting,60,2020-06-25,1.0,OK,4,1,1.75
41,98399,Yes,News & Content,294,4,Producer,2,Yes,2,7.2,1,On-site,0.9,9294,LinkedIn,55,2019-10-13,1.0,OK,5,2,1.4
42,61975,No,Engineering,295,1,Systems Engineer,3,No,2,11.7,1,Hybrid,1.1,9295,Career Site,26,2026-04-28,1.0,OK,8,2,6.25
37,140016,Yes,News & Content,296,2,Photojournalist,4,Yes,3,3.8,3,On-site,0.2,9296,LinkedIn,20,2025-11-02,1.0,OK,6,0,3.0
44,56635,No,Sales,297,3,Account Executive,1,No,3,12.0,3,Hybrid,0.2,9297,Indeed,28,2021-03-12,1.0,OK,4,1,1.25
31,86048,Yes,News & Content,298,2,Editor,2,No,3,3.0,2,On-site,1.7,9298,Indeed,30,2022-11-24,1.0,OK,6,1,2.1666666666666665
53,47933,Yes,News & Content,299,2,Reporter,3,No,3,1.0,4,On-site,0.8,9299,LinkedIn,19,2020-03-19,1.0,OK,3,0,2.0
26,85099,Yes,Engineering,300,1,Broadcast Engineer,1,Yes,3,3.5,4,On-site,1.3,9300,LinkedIn,37,2019-09-01,1.0,OK,10,4,3.1
46,123229,No,Sales,301,3,Sales Coordinator,2,No,3,9.0,3,Hybrid,1.2,9301,Indeed,32,2022-11-21,1.0,OK,6,1,1.8333333333333333
42,87556,Yes,Finance,302,3,Finance Manager,2,Yes,3,1.5,3,Hybrid,1.5,9302,Employee Referral,28,2024-12-16,1.0,OK,5,1,2.8
33,97052,No,News & Content,303,3,News Director,3,No,3,5.1,3,Hybrid,1.2,9303,Employee Referral,26,2025-06-17,1.0,OK,3,0,2.0
27,36939,No,Sales,304,2,Account Executive,3,No,4,4.9,2,On-site,0.3,9304,Career Site,43,2021-01-11,1.0,OK,7,1,1.0
33,34000,Yes,News & Content,305,2,News Director,1,No,3,0.1,1,On-site,0.1,9305,Career Site,24,2024-03-14,1.0,OK,12,2,1.25
25,39309,No,Finance,306,3,Financial Analyst,1,No,3,5.0,3,Hybrid,0.3,9306,LinkedIn,65,2022-10-01,1.0,OK,4,0,3.0
28,101026,No,Sales,307,4,Sales Manager,4,No,4,3.4,4,On-site,2.5,9307,LinkedIn,36,2019-08-23,1.0,OK,1,0,7.0
26,90631,Yes,News & Content,308,2,News Director,2,No,3,1.8,1,On-site,1.8,9308,Employee Referral,35,2026-07-11,1.0,OK,7,1,1.4285714285714286
44,62835,Yes,News & Content,309,3,Editor,2,Yes,4,0.1,2,Hybrid,0.1,9309,Employee Referral,40,2026-05-14,1.0,OK,6,1,3.3333333333333335
47,34000,Yes,Engineering,310,1,IT Support,2,Yes,4,2.2,2,On-site,0.4,9310,Recruiter Sourced,54,2019-09-21,1.0,OK,0,0,0.0
21,60950,No,News & Content,311,3,Reporter,2,No,3,1.0,4,Hybrid,1.0,9311,Employee Referral,26,2026-01-09,1.0,OK,3,0,4.333333333333333
41,71996,No,News & Content,312,3,News Director,4,Yes,3,6.3,2,Hybrid,0.7,9312,Employee Referral,41,2025-11-23,1.0,OK,7,0,2.0
40,34000,No,Engineering,313,2,IT Support,2,No,4,3.3,2,Remote,2.3,9313,Employee Referral,41,2021-02-05,1.0,OK,8,0,1.5
37,71932,No,Sales,314,2,Sales Manager,4,No,3,7.7,2,Hybrid,5.0,9314,Indeed,47,2023-01-07,1.0,OK,3,0,3.3333333333333335
31,104548,No,Human Resources,315,4,HR Manager,3,No,3,11.0,4,Remote,3.9,9315,LinkedIn,30,2026-02-23,1.0,OK,5,1,3.4
39,78104,No,News & Content,316,3,Reporter,4,No,3,2.4,1,Hybrid,1.6,9316,Recruiter Sourced,46,2019-07-04,1.0,OK,8,1,1.375
26,34000,No,Finance,317,3,Accountant,4,No,3,0.6,3,On-site,0.6,9317,LinkedIn,25,2021-02-06,1.0,OK,1,0,1.0
39,44089,Yes,Sales,318,2,Sales Manager,4,No,3,1.4,2,Hybrid,0.1,9318,LinkedIn,7,2025-08-06,1.0,OK,1,0,0.0
47,79139,No,Sales,319,4,Sales Coordinator,2,Yes,4,3.9,3,On-site,1.8,9319,Career Site,13,2024-05-17,1.0,OK,5,0,6.8
33,85677,Yes,Sales,320,3,Sales Coordinator,2,Yes,3,2.1,3,Remote,0.8,9320,Recruiter Sourced,34,2024-09-06,1.0,OK,4,1,2.5
39,69232,No,News & Content,321,4,Reporter,4,No,3,0.6,2,Hybrid,0.1,9321,LinkedIn,45,2025-08-07,1.0,OK,4,1,4.0
39,86798,Yes,News & Content,322,4,Producer,2,Yes,3,0.7,1,Hybrid,0.7,9322,Indeed,35,2021-11-14,1.0,OK,10,0,2.3
35,64590,No,Sales,323,4,Sales Manager,4,Yes,3,2.8,4,On-site,1.3,9323,Employee Referral,36,2021-11-06,1.0,OK,6,0,2.5
38,85063,No,Sales,324,4,Sales Coordinator,3,No,3,4.5,3,Hybrid,0.5,9324,LinkedIn,41,2022-02-07,1.0,OK,2,0,2.0
52,87518,No,Sales,325,3,Account Executive,2,No,3,3.3,1,On-site,0.4,9325,Employee Referral,40,2026-01-11,1.0,OK,7,1,1.1428571428571428
36,62371,Yes,News & Content,326,3,Photojournalist,2,Yes,3,13.7,1,Remote,1.8,9326,Indeed,50,2025-09-17,1.0,OK,8,2,2.875
39,34571,No,Sales,327,4,Sales Manager,1,No,3,4.7,4,On-site,0.2,9327,Recruiter Sourced,27,2026-01-09,1.0,OK,5,1,0.6
27,102957,Yes,Sales,328,4,Account Executive,1,No,3,0.3,1,On-site,0.3,9328,LinkedIn,39,2020-10-01,1.0,OK,7,1,3.4285714285714284
34,70202,No,News & Content,329,1,Producer,2,No,3,1.8,4,On-site,1.8,9329,Employee Referral,53,2024-10-16,1.0,OK,7,0,1.8571428571428572
35,45828,No,Sales,330,4,Sales Coordinator,2,No,4,1.0,3,On-site,1.0,9330,Recruiter Sourced,39,2019-05-31,1.0,OK,4,2,2.5
32,34000,Yes,News & Content,331,2,Photojournalist,4,No,3,2.4,4,Hybrid,2.4,9331,LinkedIn,50,2020-01-14,1.0,OK,5,1,1.6
42,80571,No,Engineering,332,3,Broadcast Engineer,3,No,3,14.2,3,Hybrid,0.1,9332,Employee Referral,28,2024-08-28,1.0,OK,2,0,1.5
32,39131,No,Finance,333,3,Finance Manager,3,No,3,5.0,3,Hybrid,1.9,9333,Employee Referral,46,2023-06-16,1.0,OK,2,1,2.0
53,66862,No,Sales,334,3,Sales Coordinator,1,No,3,7.9,3,Hybrid,1.2,9334,Career Site,46,2020-09-10,1.0,OK,3,0,8.333333333333334
34,54866,No,Sales,335,3,Account Executive,3,Yes,3,2.4,2,Hybrid,1.5,9335,Career Site,12,2023-02-04,1.0,OK,4,0,0.25
34,47098,Yes,Finance,336,2,Finance Manager,1,No,3,3.8,3,Hybrid,1.5,9336,LinkedIn,37,2020-05-28,1.0,OK,4,1,2.0
35,108735,No,News & Content,337,3,Photojournalist,4,No,3,6.2,2,On-site,0.5,9337,Employee Referral,36,2020-06-01,1.0,OK,4,3,1.75
51,34000,Yes,News & Content,338,3,Producer,2,Yes,3,0.4,4,Hybrid,0.4,9338,LinkedIn,44,2024-01-22,1.0,OK,3,0,5.333333333333333
61,34000,No,Finance,339,4,Finance Manager,4,No,4,4.9,4,On-site,0.7,9339,LinkedIn,36,2021-06-07,1.0,OK,1,0,3.0
35,34000,No,Sales,340,1,Sales Coordinator,4,No,3,10.5,3,Hybrid,5.9,9340,Indeed,68,2024-01-24,1.0,OK,4,0,1.75
48,52384,No,Sales,341,4,Account Executive,4,Yes,3,6.5,3,Hybrid,2.5,9341,Employee Referral,57,2022-05-16,1.0,OK,1,0,3.0
23,100976,No,News & Content,342,1,Reporter,3,No,4,1.0,3,Hybrid,1.0,9342,University Recruiting,41,2022-07-30,1.0,OK,1,0,0.0
34,82361,No,News & Content,343,2,Editor,3,No,3,14.0,1,On-site,0.3,9343,Career Site,37,2023-05-25,1.0,OK,6,1,3.3333333333333335
40,52381,No,News & Content,344,1,Photojournalist,4,No,3,9.2,4,On-site,0.1,9344,Indeed,19,2024-04-03,1.0,OK,8,2,2.75
47,54774,No,Sales,345,4,Sales Manager,1,No,3,8.9,3,Remote,3.1,9345,LinkedIn,36,2021-07-20,1.0,OK,6,0,3.5
33,78452,No,Sales,346,3,Account Executive,3,No,3,4.1,2,On-site,4.1,9346,University Recruiting,35,2025-05-17,1.0,OK,0,0,0.0
39,106418,No,Sales,347,3,Sales Coordinator,4,No,4,0.9,3,Hybrid,0.9,9347,LinkedIn,67,2022-06-29,1.0,OK,1,0,4.0
48,80792,Yes,News & Content,348,2,Producer,2,No,3,1.6,1,Hybrid,1.6,9348,LinkedIn,40,2019-08-29,1.0,OK,8,2,0.5
47,51569,No,News & Content,349,1,Photojournalist,1,No,3,2.2,3,On-site,1.0,9349,Employee Referral,47,2020-02-08,1.0,OK,7,1,3.7142857142857144
